DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,OFFERED_CAPACITY_PRICE_[EUR/MW],OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,SETTLEMENTCAPACITY_PRICE_[EUR/MW],NOTE,measurement_name,date_valid
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,2,2,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,2,2,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,12,12,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,12,12,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,12,12,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,12,12,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,9,9,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,9,9,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,9,9,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,9,9,FR,4.14,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,4,4,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,4,4,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,4,4,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,4,4,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,2,2,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,2,2,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,2,2,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,2,2,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,7,7,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,7,7,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,7,7,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,7,7,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,8,8,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,8,8,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,8,8,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,8,8,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,10,10,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,10,10,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,10,10,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,10,10,DE,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,NL,56.0,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T03:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T00:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T01:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T02:00:00
2024-02-06,2024-02-06,FCR,NEGPOS_00_04,0.0,1,1,BE,157.4,,capacity_fcr_anonymresults,2024-02-06T03:00:00
